1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3C:41:0E:FF:23:80,-76,3,3,108,251,16,48,0,60,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,234,16,48,0,44,4294967295,4294967295
3C:0A:63:8C:C0:88,-83,3,3,108,138,16,48,0,204,4294967295,4294967295
3C:0A:63:8C:1B:1C,-84,3,3,108,130,16,48,0,195,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,188,16,48,0,253,4294967295,4294967295
A0:46:88:F6:00:00,-86,3,3,108,130,16,48,0,195,4294967295,4294967295
3C:41:0E:FF:23:84,-76,3,3,108,6,16,48,0,71,4294967295,4294967295
C8:84:A1:CE:B5:44,-82,3,3,108,246,16,48,0,55,4294967295,4294967295
C8:84:A1:CE:B5:44,-82,3,3,108,78,16,48,0,143,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,9,16,48,0,74,4294967295,4294967295
3C:41:0E:FF:23:81,-77,3,3,108,153,16,48,0,219,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,54,16,48,0,119,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,198,16,48,0,7,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,69,16,48,0,134,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,15,16,48,0,80,4294967295,4294967295
C8:84:A1:CE:B5:42,-82,3,3,108,131,16,48,0,196,4294967295,4294967295
3C:41:0E:FE:F4:82,-86,3,3,108,80,16,48,0,145,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,250,16,48,0,60,4294967295,4294967295
7F:4C:9F:7A:00:05,-83,3,3,108,157,16,48,0,223,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,186,16,48,0,251,4294967295,4294967295
C8:84:A1:CE:B5:44,-82,3,3,108,99,16,48,0,164,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,253,16,48,0,63,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,4,16,48,0,69,4294967295,4294967295
A0:46:88:F6:41:52,-85,3,3,108,11,16,48,0,76,4294967295,4294967295
A9:5B:0C:4F:0E:26,-79,3,3,108,23,16,48,0,88,4294967295,4294967295
3C:41:0E:FF:20:00,-78,3,3,108,193,16,48,0,2,4294967295,4294967295
3C:41:0E:FF:20:01,-77,3,3,108,82,16,48,0,147,4294967295,4294967295
